NUMERO,LOCALIDADE,ESTADO,PAIS,SP,LogLM,LogBM1,LogLIF,LogBFI,LogBIT,LogBP,LogLN,LogBN,LogLIB,LogBB,LogBZP,LogBOC,LogLPB,LogBI,LogLI,LogLB,LM,BM1,LIF,BFI,BIT,BP,LN,BN,LIB,BB,BZP,BOC,LPB,BI,LI,LB,LAT,LONG,LD1,LD2,LD3,LD4,LD5
MN 67221,Sæo Paulo,Sao Paulo,Brasil,A,1.981001469,0.75612198,2.018895042,0.943905899,1.32175584,2.154085085,2.779440197,1.398716881,1.631199404,2.813010637,1.568615918,2.109000344,2.237513096,2.50389195,0.850150929,2.760642651,7.25,2.13,7.53,2.57,3.75,8.62,16.11,4.05,5.11,16.66,4.8,8.24,9.37,12.23,2.34,15.81,-23.55,-46.63,-3.119894029,0.249684055,1.285954574,-0.648372873,0.914181584
MN 67222,Sæo Paulo,Sao Paulo,Brasil,A,1.958685341,0.824175443,2.037316615,0.978326123,1.264126727,2.098017927,2.773213527,1.305626458,1.5518088,2.756840365,1.60743591,2.156402583,2.23644529,2.468099531,1.105256831,2.665838352,7.09,2.28,7.67,2.66,3.54,8.15,16.01,3.69,4.72,15.75,4.99,8.64,9.36,11.8,3.02,14.38,-23.55,-46.63,-2.3305406,-1.059383426,-0.875970925,-0.358389281,-0.126775595
MN 67224,Sæo Paulo,Sao Paulo,Brasil,A,1.965712776,0.810930216,2.039920784,0.985816795,1.358409158,2.182674796,2.8501283,1.393766376,1.560247668,2.737609003,1.617406082,2.131796772,2.282382386,2.525728644,1.088561953,2.770711962,7.14,2.25,7.69,2.68,3.89,8.87,17.29,4.03,4.76,15.45,5.04,8.43,9.8,12.5,2.97,15.97,-23.55,-46.63,-3.425243835,-0.486589288,0.124309489,-0.976655829,0.807904271
MN 67225,Sæo Paulo,Sao Paulo,Brasil,A,1.987874348,0.815364813,2.016235466,1.043804052,1.247032294,2.155244505,2.742129515,1.418277407,1.601405741,2.795450391,1.665818246,2.199444334,2.286455711,2.554899022,1.047318994,2.756840365,7.3,2.26,7.51,2.84,3.48,8.63,15.52,4.13,4.96,16.37,5.29,9.02,9.84,12.87,2.85,15.75,-23.55,-46.63,-3.768945511,0.475574297,0.300235045,0.473254766,0.342021492
MN 67227,Sæo Paulo,Sao Paulo,Brasil,A,1.903598951,0.828551818,1.916922612,0.887891257,1.252762968,2.113842968,2.738902665,1.335001067,1.587192303,2.744703519,1.677096561,2.1102132,2.188295947,2.429217744,0.97455964,2.691243083,6.71,2.29,6.8,2.43,3.5,8.28,15.47,3.8,4.89,15.56,5.35,8.25,8.92,11.35,2.65,14.75,-23.55,-46.63,-2.682350408,0.755488506,0.165999959,-0.61246301,-0.086335443
MN 67228,Sæo Paulo,Sao Paulo,Brasil,A,1.93874166,0.760805829,2.122261539,1.004301609,1.244154594,2.14710019,2.756840365,1.363537374,1.541159072,2.820187701,1.693779061,2.174751721,2.251291799,2.511223958,1.078409581,2.735665368,6.95,2.14,8.35,2.73,3.47,8.56,15.75,3.91,4.67,16.78,5.44,8.8,9.5,12.32,2.94,15.42,-23.55,-46.63,-3.287889065,0.782589039,-0.261971604,0.741871675,0.326908334
MN 67234,"Faz. Instituto Agron_mico, Pindamonhangaba",Sao Paulo,Brasil,A,2.039920784,0.819779831,2.004179057,0.970778917,1.355835154,2.125847914,2.747911735,1.25846099,1.566530411,2.805176912,1.690095815,2.200552367,2.241772954,2.385086315,1.078409581,2.729159164,7.69,2.27,7.42,2.64,3.88,8.38,15.61,3.52,4.79,16.53,5.42,9.03,9.41,10.86,2.94,15.32,-22.92,-45.46,-3.284500213,-1.40791874,0.347631449,0.148052804,0.980782521
MN 67235,"Faz. Instituto Agron_mico, Pindamonhangaba",Sao Paulo,Brasil,A,2.006870849,0.792992516,2.056684555,0.924258902,1.124929597,2.093097868,2.64900766,1.244154594,1.523880024,2.777576264,1.609437912,2.071913275,2.061786606,2.327277706,1.388791241,2.658859957,7.44,2.21,7.82,2.52,3.08,8.11,14.14,3.47,4.59,16.08,5,7.94,7.86,10.25,4.01,14.28,-22.92,-45.46,-2.133924404,-0.190143535,0.28074204,1.24857874,0.306343031
MZUSP11214,Taubat_,Sao Paulo,Brasil,A,1.968509981,0.832909123,1.996059933,1.047318994,1.190887565,2.140066163,2.656054906,1.451613827,1.481604541,2.745345986,1.578978705,2.074429,2.151762203,2.315501318,0.97455964,2.595254707,7.16,2.3,7.36,2.85,3.29,8.5,14.24,4.27,4.4,15.57,4.85,7.96,8.6,10.13,2.65,13.4,-23.025,-45.555,-3.144280942,-0.108670953,0.131542293,-0.219521804,-2.945819122
MZUSP11222,Taubat_,Sao Paulo,Brasil,A,1.962907725,0.779324877,2.006870849,0.90016135,1.205970807,2.14710019,2.708716646,1.686398954,1.60341984,2.800325477,1.547562509,2.105352923,2.136530509,2.16791019,1.01884732,2.694627181,7.12,2.18,7.44,2.46,3.34,8.56,15.01,5.4,4.97,16.45,4.7,8.21,8.47,8.74,2.77,14.8,-23.025,-45.555,-3.633516572,-0.438190658,3.450261805,1.73603281,-1.811238785
