Individual	Species	CSM	LM1	CFI	LFI	LPI	LPA	CNA	LNA	LIO	LCC	LPZ	LCO	CPP	LIP	CIP
77	I	-0.020680956	-0.088769268	-0.024573793	0.0200554	-0.092729338	-0.030187679	-0.08754473	-0.009591646	-0.010850575	-0.000345957	-0.133786051	-0.012790302	-0.05318366	-0.020771306	0.135826325
78	I	-0.001345046	-0.053839334	-0.0171226	0.068665832	0.048037129	-0.063277096	-0.061870848	-0.034956347	-0.01296989	0.039265607	0.044032272	-0.022690388	0.052731543	-0.046989394	-0.115082806
79	I	0.01987082	-0.016410702	-0.094972457	-0.137474226	0.038497202	-0.072421074	0.018915707	0.055438686	0.014492554	-0.039485372	-0.100026706	0.013992173	0.004259053	-0.029747936	-0.045469022
80	I	-0.056719147	-0.133917714	0.013592315	-0.027831499	0.000510089	-0.055129535	0.097989914	-0.059523449	-0.088143888	0.040406635	0.004206403	0.028703821	-0.072270743	0.003733992	0.033425461
81	I	-0.067465152	-0.028792661	0.061177322	0.013407159	-0.032716972	-0.054216287	-0.033998417	-0.125871686	0.064304133	0.005295411	-0.051111228	0.076143247	-0.115536892	-0.033813041	-0.088475488
82	I	0.068866666	-0.021082534	0.015697819	-0.084993647	0.085697556	-0.036943677	0.002057287	0.03215236	0.021879667	0.002096997	-0.015468554	0.077076854	-0.054298645	0.084013773	-0.02804837
83	I	0.008624193	-0.051795175	-0.037798982	-0.018436704	-0.012763142	-0.044250796	-0.053425652	-0.010437878	0.019610972	-0.015649428	-0.054824078	0.057604897	-0.103430781	-0.098643661	0.055408468
84	I	-0.078764645	-0.099187154	-0.011817548	0.00849731	0.022136401	-0.057394726	-0.029482266	0.03050087	0.098594518	0.000350191	-0.093820026	0.082020567	-0.087746514	0.098405405	0.227998046
85	I	0.016331505	-0.022016094	0.058419173	0.002413764	0.074812939	0.025268037	-0.011266161	0.057058824	0.072859719	0.008638199	-0.110427601	0.036380728	-0.0002892	0.067528265	0.010980727
86	I	0.040230248	-0.003598366	-0.081176592	-0.035853321	-0.069714603	-0.057088687	-0.056945927	0.021638717	0.044811087	0.004176944	-0.098278318	0.032118554	-0.003325871	-0.100483135	0.140555571
87	I	-0.012637641	-0.031168576	0.084001902	-0.005619864	0.087528482	-0.007156359	-0.01074677	-0.023747276	0.016690234	0.024171682	-0.071084974	0.081648538	-0.023346636	-0.028902174	-0.077488511
88	I	0.023650559	-0.035869698	-0.056388736	0.063036574	0.084302867	-0.031006414	-0.024488276	-0.08387004	-0.122264499	0.002762129	-0.081861234	0.046779807	-0.060313844	-0.083667833	-0.314238984
89	I	0.021984128	-0.008371644	-0.013065167	0.066598404	0.029249661	-0.021156678	0.095031312	-0.028445387	-0.02580648	-0.0053018	-0.057844748	0.053356079	0.014714306	-0.054353363	-0.099682413
90	I	-0.008154005	-0.014730838	-0.04919128	-0.036576777	0.028814562	0.004126103	-0.002770877	-0.058296943	0.025313555	0.000403001	-0.141032404	-0.005174034	-0.081100773	-0.025874387	-0.068631856
91	I	0.033829245	0.006814611	0.021586631	-0.050153933	-0.002375921	-0.002090551	0.034439588	0.042884881	-0.067819359	0.013799905	-0.008241422	0.013101172	-0.047567229	0.011626362	0.210324863
92	I	-0.013515933	-0.045093863	0.063231097	0.099328305	-0.007101341	-0.051461494	0.003341182	-0.019403104	-0.181295745	-0.013167419	0.055594649	0.041993769	0.017963427	-0.027153574	-0.042822355
93	I	0.000491482	0.048281301	-0.009164496	0.053591185	-0.045798215	-0.117828293	0.030069989	-0.069683871	-0.055790657	-0.01330786	0.056557148	-0.027832386	0.029187115	0.019853471	-0.024808283
